text,true_label,pred_label,prob_toxic,language
"Bộ Giao Thông Đường Bộ của Úc chỉ quy định 3 loại xe sau phải có bình cứu hỏa .
 
 1- Xe ô tô nào có đầu máy đặt nằm bên trong xe ( cùng chỗ ngồi với hành khách ) chứ không phải bên ngoài xe .
 
 2- Xe ô tô du lịch có trang bị bếp gas nấu bằng lửa .
 
 https://www.facebook.com/Hanghy92 Hằng Híp Hay..thích nhất đoạn thủy táng, hỏa táng, hấp táng và làm rượu mận
 
 https://www.facebook.com/huynh.son.75 Pa Nippon Sao thay quen quen
 
 https://www.facebook.com/people/Ph%E1%BA%A1m-L%C3%BD/100010155273141 Phạm Lý Sau đó là ăn táng...
 
 https://www.facebook.com/tung.nguyenduc.3781 Nguyễn Đức Tùng Cười ko thở nổi!!!
 
 acc clone Đinh Đắc Vũ :v
 
 acc clone Tuan Ngo QuynhAnh Nguyen :))
 
 acc clone Kaotayto Kao Ơ..
 
 Đậu xanh..
 
 Dân đen chúng mà ko thích xài điện thì phang đèn dầu đi nhá..
 
 https://www.facebook.com/mushrooms.small Pie Pie Quản lí bóp cổ xiết chặt :(
 
 acc clone Phan Tuan Anh :3 Kinh doanh độc quyền sướng quá chỉ cần tăng giá lên là lời :v Đố thằng nào dám ko dùng điện !
 
 https://www.facebook.com/zuu.tran Trần Du Ngay xua giay bao djen con co gia gio deo thay lun chj thay moi caj tong voi vat
 
 acc clone Nguyễn Thắng :))))) nuc cuoi`
 
 acc clone Tình Lâm Điện Lù có khác
 
 https://www.facebook.com/baoloc.thai.3 Loc Bao Thai nghe đâu khảo sát dân hài lòng cho 6.9/10. má xài diện từ nhỏ tới lớn chỉ thấy tờ tiền điện hàng tháng chứ thấy cái giấy nào khác mà bao dân hài lòng
 
 https://www.facebook.com/thai.le.92351 Vinh Toan Thế mà lúc nào cũng kêu lỗ rồi lại tăng giá đấy
 
 acc clone Không Tên Độc quyền thích tăng mấy thì tăng .ko lời thì quá ngu
 
 https://www.facebook.com/thisisleo.8 Việt Nguyễn Ơ!!!! Tao có chấm điểm hả các mày???
 
 https://www.facebook.com/zuu.tran Trần Du Mấy bác thông cảm..evn sống ảo và diễn sâu ấy mà.
 
 https://www.facebook.com/dk.milano DK Milano thằng nào chấm thế?
 
 acc clone Trần Đình Duy Nhiều cái 1 thành ra cái 69 đó :)))
 
 acc clone Tình Lâm Ớ sao lại 6,9 ???
 
 acc clone Kaotayto Kao Ơ..
 
 acc clone Nguyễn Thắng Toi k biet chi het :v
 
 acc clone Bùi Thắng Nhiệm vụ evn là sản xuất điện. Và nó đã làm đc. Thế còn muốn làm gì nữa thì mới hài lòng, cấp điện miễn phí à
 
 https://www.facebook.com/people/Ty-Hoang/100006073634871 Ty Hoang Bày trò. Trò này thế nào cũng tốn của.
 
 acc clone Chánh Tâm Hãy xem người dân tây tạng khổ sở thế nào
 
 https://www.facebook.com/khanh.do.399488 Đỗ Ngọc Khánh quát i dờ Phắc gâu in on in mai can trùy...?
 
 https://www.facebook.com/minh.chau.319 Minh Chau Đây quan tu díu chai na mó nì in áo ơ can truỳ
 
 https://www.facebook.com/pham.duynghia.543 Phạm Duy Nghĩa sắp bán cmn nươc rồi
 
 https://www.facebook.com/quangtien.nguyen.31 Nguyễn Quang Tiến dm thang nao kien nghi cai nay xu ban ca ho nha no luon dj
 
 acc clone Bui Nam Tóm lại là đéo có $ mà thanh toán, cũng đúng thôi, nhập nhiều hơn xuất thì đấy đâu ra.
 
 https://www.facebook.com/people/Tony-Nguy%E1%BB%85n/100002984821564 Tony Nguyễn Thôi xong!!!
 
 https://www.facebook.com/Thaivunhatnam Nam Thái Bác Hồ sẽ tự hào về đềui này ... khi đó , tượng Hồ sẽ thay thành Tượng Mao :v
 
 acc clone Tình Lâm Các bạn có muốn trở thành nền kinh tế lớn thứ hai thế giới không?
 
 Hãy trở thành một huyện của chúng tôi!!!
 
 Phải làm gì ư? Không, các bạn không cần làm gì cả, hãy cứ ngồi yên và đừng quan tâm đến chính trị. Mọi việc chúng tôi đã thuê ĐCS VN làm hết rồi !!! :)
 
 acc clone Cường Vũ Cái địt cụ, xài ngoại tệ thì bị thu Hồ tệ thì mất giá Mao tệ lên ngôi đmcs
 
 https://www.facebook.com/taam.exc Đức Tâm nếu là thật rủ nhau đi học tiếng Trung đi. :v
 
 https://www.facebook.com/kul.stonebutch Nguyễn Hoàng Phương Anh Đi học tiếng hoa lẹ đi khi nó còn rẻ ad à :))
 
 https://www.facebook.com/kunno9 Đặng Lê Hương Xuân Đùa à
 
 https://www.facebook.com/hoang.tranviet.9 Hoàng Trần Việt Ngày một rỏ ý đồ của mấy nàng bụng bầu. Hết thực phẩm,đồ chơi,quần áo, đến đt,laptop,tivi,xe máy,khu hoa kiều, đaif radio,kênh truyền hình quốc gia, rồi giờ đến cái nước cuối cùng là đồng tiền cũng sẽ bị đồng hoá và rồi sau này Việt Nam! Chỉ còn là một ngôi sao nhỏ trên cờ trung cẩu mà thôi
 
 https://www.facebook.com/cau2.nhim Viên Quang Tuấn Yêu nước cái lồn mẹ chúng mày. Địt mẹ mấy thằng phản động. Làm thế nào thì đã có chính quyền. Chúng mày giỏi thì đéo phải ngồi đấy gõ phím
 
 acc clone Tống Nguyễn Gia Khánh Nó bán gần hết nước Việt Nam rồi
 
 https://www.facebook.com/trieuhoang.ho Shurima Amumu có khả năng phải đóng thuế thân
 
 acc clone Phan Tuan Anh Giờ tổng thuế lên tới 40 50% rồi kinh vãi -_- !
 
 acc clone Tung Le DM...thằng assmin xàm xí...ụ ẹ có giảm xuống 150 triệu 1 chiếc thì mày cũng có tiền méo đâu mà mua...DM...chửi như đúng rùi...lo kiếm tiền đóng net đi kìa...không nó cắt thì khỏi online nha mày...hơ hơ hơ...
 
 acc clone Phan Tuan Anh ad nói đúng rồi ko thấy à ,dân mua xe hơi thì phải đóng thuế gấp 2 lần giá xe còn bọn quan chức thì được đi xe công ko đóng 1 đồng nào còn có xe để chạy sau này khi nghỉ hưu được luôn chiếc xe đó .Bạn ko thấy bất công à .Số thuế người dân mua xe đóng đảng sẽ dùng vào việc gì ? nâng cấp đường xá à =)) bọn chúng chi vào những công trình ngàn tỉ rồi đưa nhau chia chác
 
 https://www.facebook.com/coste.la.125 Mạnh Mạnh Học thì ngu mà cứ so sánh vs quan
 
 https://www.facebook.com/hoang.tranviet.9 Hoàng Trần Việt Thế giới đóng thuế thấp hơn Việt Nam! Nhiều à. Tay nhanh hơn não mẹ rồi. Đọc,học,tìm,hiểu kỹ vào hãy nói
 
 acc clone Tung Anh Nguyen tay nhanh hơn não hã mày ?
 
 acc clone Tân Duy Nguyễn Đàn anh nói sao đàn em phải nghe theo thôi ad ạ. Đừng buồn vì lí do đó.
 
 acc clone Trọng Minh Thg đi xé đạp jải fong thg đi ô tô để cả 2 đi xe máy nên đừng mơ tất cả đi ô tô:))))
 
 acc clone Huy Nguyễn Thăng ad ngu vcc nói gì cũng thấy ngu =)) đùa chứ m k còn gì để tả vì đô ngu của m
 
 https://www.facebook.com/khanh.do.399488 Đỗ Ngọc Khánh phắc ga vờ mừn
 
 https://www.facebook.com/tuhip.hoa Nguyễn Trọng Tú Đéo bao giờ đéo bao giờ giữa mùa hè tuyết rơi
 
 acc clone Đào Quang Đm nhìn đường xá VN tao chỉ mong dẹp cmn oto đi cho rồi .
 
 https://www.facebook.com/people/Key-Quang/100008983842906 Key Quang Cần gì ô tô tao đi bộ cho chắc
 
 https://www.facebook.com/tructiep.tuongthuat Nhiên An đọc báo tăng thu phí đuờng bộ kéo xuống cmt trên zing nhé,nó bảo tăng thu phí để cải thiện đuờng bộ,xây đuờng mới cho dân và sẽ giảm thuế,phí ô tô rồi sau này con cháu chúng ta sẽ đuợc đi ô tô,cmn mấy bọn dlv rảnh háng cmt đây mà,thuế còn cao gấp mấy t
 
 acc clone Vũ Thắng Vcl lạm phát 3,4 con số :))) ngu còn tỏ ra ngu hẳn :))) lạm phát 4 con số thì 2 thằng + con mặt lồn đẻ ra mày đã vác tiền triệu đi ăn phở rồi chứ ngồi đấy mà sủa à :)))) còn hoàng sa :))) ơn giời,ơn bu mỹ :))) thiệu nhà mày bán cmn cho tàu từ năm 74 rồi nhá :))) cái giá là cắt viện trợ cho bắc việt và về liên minh chống soviet vs mỹ :v
 
 https://www.facebook.com/doanh.nguyen.50115161 Doanh Nguyen Quản lí yếu kém , bây h chỉ chăm chăm tìm nguồn thu bất kể chỗ nào tận thu đc ... Viện phí, phí cầu cống, bảo hiểm XH, Y tế, ... Ôi cứ ngồi nghĩ ra khối thứ có thể thu đc
 
 acc clone Thùng Cơm Biết chúng nó nổ mà đéo làm gì nổi
 
 https://www.facebook.com/coste.la.125 Mạnh Mạnh Vkl rận nó dạy mày học bảo sao ngu vl ad ạ
 
 https://www.facebook.com/hoaiphi.nguyen.9 Bác Ba Phi Để xem năm nay sẽ có bao nhiêu cái tăng nữa, bình ruồi vừa tung chiêu cướp dollar rồi, xăng thì k tăng được trong áp lực giảm, có lẽ điện nước sẽ tăng,trạm thu phí đường bộ cũng vừa tăng,mới cướp 22% lương của người xuất khẩu lao động. ..
 
 acc clone Cụ Nội Đi Hội Thiệu bán cmn ak`
 
 acc clone Johnny Trung Tran 
 
 https://www.facebook.com/people/Le-Hung/100004246504509 Le Hung Khà khà ...! Thằng nào viết bài này công nhận là Ngu có đào tạo, Ngu rất có bài bản"". :v",0,1,0.9957522265192469,vi
Quan ngại chứ dân đéo ngại nhé,0,1,0.8829399735719167,vi
Đ” lquan nhưng mặt giống Quang Ngọc Trinh vl :))),0,1,0.8796663923327657,vi
Trần Hiếu Cút mẹ mày luôn đi. 🤣🤣🤣,0,1,0.8752140156181688,vi
Nó tập ở đảo nhà nó liên quan đéo j đến VN? Hay chúg mày nghĩ toàn bộ đảo ở quần đảo HS lẫn TS đều của VN?,0,1,0.8720811585055723,vi
Nguyễn Thịnh như con đĩ quái thai. Bổ xug thêm con cu nưa nhé. Trứng hơi to 😁😁😁,0,1,0.8485802680650476,vi
Đọc nội quy đéo buồn cười tới cái tên phun mẹ nó nước miếng 😂,0,1,0.8470860118130249,vi
Cú R làm ướt mẹ nó cái quần....,0,1,0.8396214705671555,vi
Ong tien  tri oi ong coi thu co con cat cua toi mot ngay nung may lan,0,1,0.8285115165922813,vi
Là 1 thằng bê đê,0,1,0.8248154955241088,vi
