text,true_label,pred_label,prob_toxic,language
Tế :)),1,0,0.005229872409281237,vi
Vui cùng em bóp vú bên đường 🤭🤭🤭,1,0,0.014723458910566265,vi
Ngoài những giáo án xịn sò thì đây là những gì anh em ta sẽ tiếp thu được từ thầy. Cám ơn thầy và xin đuỵt mọe thầy =))),1,0,0.018714598355058957,vi
Khoe puồi,1,0,0.020710203451786972,vi
Mai Anh Tuân Mua được mấy cái siêu xe cho các con du học bên bển rồi :v,1,0,0.02162872398458811,vi
Indo đã biết danh bác hù từ lâu lắm rồi!,1,0,0.02330185397092675,vi
Đung tới bac kỳ la em sẽ tiep tuc co cuoc song ko binh yen ne nhe để xem nhieu tap,1,0,0.023975618569129664,vi
Stupid cực mạnh,1,0,0.024189688314620417,vi
Ngực nhỏ quá đi,1,0,0.02833151186615812,vi
"Moá, quái thai",1,0,0.038138346032038306,vi
"Toàn ""sửu nhi""",1,0,0.045442873049425465,vi
Mấy đứa giàu thường rất thích đi dạy đời người khác,1,0,0.045890533122561354,vi
"Hien Tran Ngoc Bich, Hiep Tranhoa xem có bó tay không nè trời.",1,0,0.04746896462332217,vi
Bị cô lập thì về đây với em nè abe em dẫn abe đi chơi gái nè . Bao ngon,1,0,0.048851517872164886,vi
qua sam,1,0,0.0511605314940942,vi
"thế thì bên asia entertainment thuê về được hơn chứ thuy nga mà thuê ông này thì có mà bị kick khỏi VN, ông dần vẫn mang tính phản động mà.",1,0,0.05189317108428542,vi
Nó cố ý hay vô tình sống tới giờ vậy,1,0,0.0522274082611969,vi
"quan trọng là cãi tụi nó nên tụi nó cho lên đĩa, chứ làm sai thì ai nào ko sai? với lại biết ai chơi ko mà nói ông thanh nào đì, dám nói ông thanh đà nẵng lắm ah` =))",1,0,0.052510518834753904,vi
Đang Ôn Thi Tuyết Yến Nhung ưng chửi.,1,0,0.05284782353507964,vi
Cuối năm xem gặp nhau cuối năm rồi. Tình hình tham nhũng ở mức ổn định 😂😂😂😂😂😂,1,0,0.05374379168065386,vi
Ba roi gay :<,1,0,0.05461432038406757,vi
Trong khi thế giới đang đi lên thì nước mình lại đi xuống...,1,0,0.06232885380397799,vi
Bốc họ chăn gái,1,0,0.06337905114127762,vi
Bảo xuyên ơi nhìn em rưng rưng nước đái .hahaha,1,0,0.06623940699514615,vi
Mọe,1,0,0.06624024311923642,vi
Em sẽ đến đơm cái lỗ nhị thầy đêm giáng sinh🙃,1,0,0.06799529692112093,vi
Ở Nhật nhưng làm việc hành chính theo kiểu Việt Nam - Buồn,1,0,0.06847847027808884,vi
Tao sẽ ghé đái 1 bãi ngay,1,0,0.06904882268100083,vi
Nhìn mặt mày dao kéo nhiều quá rồi đẹp gì ghê quá,1,0,0.07007956127757835,vi
Thầy dạy học sinh cách phê đá và cỏ,1,0,0.0746484553132784,vi
Lmcs,1,0,0.0749710093567898,vi
"Không ăn thì bạn cũng không có quyền cấm và chửi người khác đâu ạ, thượng đẳng ít thôi",1,0,0.07570300549853302,vi
"Tôi xin rút kinh nguyệt nhé... mợ, mỗi tháng rút 1 lần nhể",1,0,0.07687085236027248,vi
"nhận hết trách nhiệm đi, anh đưa tiền cho phạt. Nhớ nói là: em làm mạnh tay, đè mấy chai Dr. Thanh chứ cty an toàn lắm. càng pr cty tết này anh thưởng nhìu cho",1,0,0.07771390596794292,vi
Làm đek gì có Lê Văn Tám nên chậm là đúng rồi. :v,1,0,0.08302486818743927,vi
